@RELATION	TestingSet

@ATTRIBUTE	class		{Politics,Economy,Social,Technology}
@ATTRIBUTE	id			NUMERIC
@ATTRIBUTE	content		STRING

@DATA
Social,583649774735237120,'pre poroshenko support reopen tatar tv consid shutdown o kabari world'
Economy,583649480131522560,'odilon almeida presid western union american region share perspect st cen'
Technology,583649421260271616,'slap googl antitrust charg report prepar file antitrust charg'
Technology,583649194428215296,'hate american tech compani seem hate american tech compani lot just'
Politics,583649074584256515,'have polish ancestri you abl obtain polish citizenship'
Social,583648877032648704,'been found guilti genocid bestprankev meinecok'
Economy,583648704097202176,'lebanon lack progress report progress neighborhood polici enp in'
Technology,583648547804938240,'facebook data privaci case heard befor court maximilian schrem battl exist law which allow compani'
Technology,583648229444595712,'easiest place googl data mine user inform movement due data retent law'
Social,583647862510129152,'name have chang but standard rugbi in rugbi champion cup still top qualiti roger'
Technology,583647421516931073,'facebook data privaci case heard befor court maximilian schrem ba'
Technology,583647222295764999,'slap googl antitrust charg report prepar fil seo'
Technology,583647216759218176,'seo busi tech slap googl antitrust charg report socialmedia smm'
Technology,583646970004185089,'hate american tech compani seem hate american tech compani lot ju'
Technology,583646876089655296,'facebook data privaci case heard befor court maximilian schrem battl exist'
Social,583646193047207936,'bienvenu brandon lombardo who join month employ exchang programm'
Politics,583645792319234049,'get britain out latest piec left foot forward expos institutionalis sexism within kei institut'
Technology,583645572457824257,'facebook data privaci case heard befor court maximilian schrem battl ex'
Politics,583645548034523136,'commend jonathan save nigeria chao'
Economy,583645156353671169,'updat new parliament matter employ collect analyticu'
Technology,583644866611023872,'smartgrid balanc solar windpow could europ shale ga senior offici sai'
Social,583644330910318593,'support reopen tatar tv consid shutdown crimean kabari world'
Politics,583644287377735681,'panelbas vote stai in excl dk'
Politics,583643227451981824,'council energi'
Technology,583642828967841792,'facebook data privaci case heard befor court maximilian schrem battl exist law'
Social,583642294529568769,'it call known a fourth reich'
Technology,583641346369396736,'fb track all user includ on who have loggedout regist fb in violat law'
Politics,583641214810886144,'diplomaci until dawn kerri zarif burn midnight oil unit state iran leader work deal limit iran'
Politics,583641213636456448,'diplomaci until dawn kerri zarif burn midnight oil unit state iran leader work o'
Politics,583639534094651392,'anoth seven countri a well a kosovo wait in wing join'
Politics,583639373096312834,'abus tax monei'
Economy,583637004107309058,'britain brexit dilemma'
Politics,583636909815160832,'it time accept leadership in'
Social,583635845040734208,'violat media freedom defin atr channel shutdown'
Technology,583635190490210304,'prepar lawsuit googl search giant under scrutini abus it'
Politics,583635088191008768,'commend jonathan save nigeria chao channel televis'
Technology,583634608866119680,'good morn prepar antitrust charg googl accord report'
Economy,583634545620164609,'economist britain brexit dilemma'
Social,583634228010557440,'gloucest v connacht gloucest face connacht in rugbi challeng cup quarterfin ki'
Politics,583634166996008962,'jonathan hail a hero conced elect a meet observ'
Economy,583633774749085696,'when acquir other compani share do give transpar precis inform see lafonta case c'
Economy,583632805910962176,'abus reseach fund'
Social,583632098327568385,'bbc rugbi new gloucest v connacht gloucest face connacht in rugbi challeng cup quart'
Social,583632004593291264,'gloucest v connacht gloucest face connacht in rugbi challeng cup quarterfin rugbi'
Social,583631644747235328,'so'
Technology,583631528204357633,'expressnew gear up sue googl anticompetit claim'
Social,583631028205400064,'multilingu there offici languag in'
Technology,583631006349012992,'appl spotifi stream music deal said probe'
Technology,583631003098427392,'gear up sue googl anticompetit claim'
Social,583630834982395904,'england u v england goal highlighst moldova soccer stream uefa'
Social,583630775683313664,'gloucest v connacht gloucest face connacht in rugbi challeng cup quarterfin king'
Technology,583630723501989890,'tech commiss prepar file formal charg googl amid commi'
Economy,583630588382437376,'note berlin energi'
Economy,583630241660280832,'nation continu overfish atlant water'
Economy,583630112609931265,'mcdonald under scrutini tax rule in luxembourg mcdonald scrutini tax rule'
Technology,583629750318436352,'you wouldnt need sue googl antitrust if anyon want'
Politics,583628779622309890,'jonathan set exampl entir world jonathan goodluck elect ob'
Technology,583628716804145152,'readi declar war googl prep antitrust charg tension between googl ne'
Technology,583628095665676289,'noviceseu gear up sue googl anticompetit claim in final stage'
Technology,583627643037188096,'digit startup'
Social,583626689982304257,'consid shutdown crimean tatar media flagrant violat right kabari'
Politics,583626666221686784,'jonathan exampl world'
Social,583625609072508928,'excel mayor climatechang own hand w histor'
Social,583625077792624641,'ja in in thi term well understood in north america'
Politics,583624580041986048,'it import underlin new direct in itali matteo renzi'
Social,583624179062349824,'ebu dai music holi week ian skelli present broadcast union annual dai'
Social,583622626238599168,'gloucest v connacht gloucest face connacht in rugbi challeng cup quarter rugbyunion'
Politics,583621687830261760,'elect observ mission describ a unpreced presid goodluck jonathan'
Technology,583620859832610817,'probe googl inc goog antitrust alleg wrap up case tickerlen goog wlst'
Social,583620025275305984,'british nazi tri burn flag fail do so due polici flammabl materi'
Politics,583620021160673280,'monetari monetari polici meet account releas gmt have short term impact eur movement'
Technology,583619549414555649,'go file antitrust charg googl in next few week accord new repor'
Social,583618656774389760,'gloucest v connacht gloucest face connacht in rugbi challeng cup quarter rugbi rfc'
Social,583618649937686528,'bbcsport gloucest v connacht gloucest face connacht in rugbi challeng cup quarter'
Technology,583617957655379968,'appl muchrumor new music stream servic alreadi be subject scrutini'
Social,583617354191339520,'pre poroshenko support reopen tatar tv consid shutdown crimean t'
Politics,583617312793747456,'cmte affair discuss engag ombudsman watch proceed live here'
Social,583616252339445760,'new gloucest v connacht gloucest face connacht in rugbi challeng cup quarterfin'
Politics,583616140275879936,'observ group gener elect in nigeria describ presid goodluck'
Social,583615960822771713,'latest bbc feed gloucest v connacht gloucest face connacht in rugbi challeng cup quarter'
