@RELATION	testSet

@ATTRIBUTE	class		{Politics,Economy,Social,Technology}
@ATTRIBUTE	id			NUMERIC
@ATTRIBUTE	content		STRING

@DATA
Technology,585683618577698816,'update: news from the eu parliament'
Politics,585680017843159040,'rainy morning @ delegation of the european union'
Economy,585679571531489280,'european trade union institute (etui) - benchmarking working europe 2015 / books / publications / home'
Economy,585679211945398273,'germany is indias largest trading partner in the european union with bilateral trade amounting to some 16 billion euros in 2014.'
Politics,585676904650428417,'greece and russia inspect ties: seemingly at odds with the european union greece and russia are now turning t...'
Politics,585674190319177728,'using cash and charm #putin has methodically targeted the european union’s weakest links'
Politics,585668495653916672,'pdf book - the european union collective: enemy of its member states - by christopher story'
Social,585667926834946049,'thank you! do @senschumer & 7 other "dems" really think the gop is smarter than germany'
Social,585665423271657472,'@michmallows + since its part of the european union'
Politics,585663374140305408,'greek pm in moscow for putin meet that rattles european union'
Politics,585661717092429824,'we remain united for our union the european union !! #eu #europeanunion'
Social,585657327526748162,'polish cinema on the 20th european union festival in indiamake sure to get seat for "ida"  - 2015 winner for the...'
Social,585655434738061312,'european union:pro-hamas anti-israeli chanting at an  ajax vs utrecht football match in the netherlands'
Politics,585650794017456128,'@futps4coin @zwebackhd you guys are holding down the european union.'
Economy,585650086916530176,'@fuckniggawhatup @zwebackhd greece goes down so does european union'
Politics,585649809366896640,'new understanding european union law by karen davies hardcover book (english) fr'
Social,585647517313986560,'also i mean that the flag of the european union is actually a marian symbol'
Politics,585643814217506820,'the tragedy of the european union : disintegration or revival? by george...'
Social,585642287121727490,'as part of  #climarte this year the european union in australia is going to be bringing the exhibition to...'
Technology,585642183207837697,'action plan on cooperation in the customs enforcement of intellectual property rights in the european union an...'
Politics,585641130081050626,'greece must say to the european union “we are even” -  #googlealerts'
Economy,585638317007495168,'up to date news from the eu parliament european union eu matters and eu entrepreneurship:  /via analyticus'
Politics,585637957928939520,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585637812604657665,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585634235739930624,'pm nguyen tan dung has asked the european union (eu) to soon ratify the framework agreement on cooperation and...'
Politics,585630248986877953,'best for ukraine: division of the territory between european union and russia according to a referendum performed in each province.'
Politics,585625095898529792,'how obama abandoned democracy in iraq: the european union and others had fielded hundreds of international pol...'
Technology,585624335567683584,'european geosciences union meeting: press conferences live stream on-site registration'
Social,585624200477548544,'the european union daily news  is out!  stories via @beerskythinking @dioperix @_montasser'
Economy,585622166575706112,'the european unions statistics office eurostat said prices atfactory gates in the 19 countries sharing the euro rose 0.5 percent'
Economy,585621060441243650,'#report details falling #chemical #sector outputs in #european #union  #djsresearch'
Social,585618470617948160,'eu: ban fur farming in the european union  via @change'
Politics,585613787501301760,'potential rand paul campaign slogans:i will stop the european union-style merger with mexico and canada!#randpaul'
Politics,585612543445618688,'#politics farage: id love to have a big debate about eu: …  had raised the issue of european union membership...'
Economy,585609589535682560,'nearly a billion people around the world live in extreme poverty. the european union and its member states are...'
Social,585605993901461504,'how well is neo-functionalism still able to account for the evolution of the european unio…'
Economy,585605928428445697,'its amazing how @uklabour are prepared to prostitute themselves to big business -'
Politics,585601545972113408,'@mandymiller123  @nhaparty so you will remove the european union law forcing competition in services?'
Social,585600489791815680,'@governordeal the european union has banned the use of cruel steel-jaw traps in europe. #vetohb160'
Politics,585599848180748289,'farage welcomes blair intervention on the european union'
Politics,585595592908414977,'tony blair warns against european union referendum'
Politics,585594839980466176,'.@jcms_eu the puzzle of double referendums in the european union'
Social,585593692142104578,'eu: ban fur farming in the european union  via @change'
Economy,585593015013613570,'update: news from the eu parliament european union eu matters and eu employment:  /collected via analyticus'
Social,585592909879181313,'gender equality and fijicountries in the european union are imposing gender quotas on boards of large...'
Social,585590666488651776,'daily just of longer honest at union duncan in their its a european museums one breakfast resolved falling hotel number of this was as'
Politics,585590555700293634,'the european union: a guide to terminology procedures and sources'
Social,585589014075441152,'open-door immigration and still a belief we should maintain membership of the european union? #europeanunion'
Social,585589012942999553,'open-door immigration and still a belief we should maintain membership of the european union? #europeanunion'
Politics,585588874136662016,'european union will impose tina (“there is no alternative”)'
Politics,585588243019800577,'farage welcomes blair intervention on the european union'
Politics,585586819577880576,'#politics tony blair: public cant be trusted with choice on eu as it happened: …  the european union. it has...'
Politics,585584793280241667,'the court of justice is not the same as the court of justice of the european union+the ecj is not the court of justice of the european union'
Politics,585584402635325440,'@chinesesaings please spread word & sign petition about #eu #votingrights for #ep2014   #believeinitactonit'
Politics,585579659548610560,'@markfergusonuk @carlgardner i still dont care. im voting ukip.  i want out of that economic black hole that is the european union!'
Politics,585578758398173184,'farage welcomes blair intervention on the european union'
Politics,585577828592316419,'the origins of the european union ders notu'
Politics,585576187675697152,'farage welcomes blair intervention on the european union  history of family members died for me to make this choice iw'
Politics,585574984577331201,'@bbcnewsbeat what do you if uk step out the european union'
Politics,585574937995440128,'farage welcomes blair intervention on the european union'
Politics,585574084823625728,'@duncanbannatyne @ed_miliband i dont care. im still voting ukip. i want out of that economic black hole that is the european union!'
Politics,585573245832802304,'#politics blair warns over camerons eu referendum promise: … ;s plan to hold a european union membership refe...'
Politics,585571297440169984,'the idea of uk pulling out of the european union is so they can have more control over their borders'
Politics,585571021400498176,'3novices:opinions › election campaign reflects britains global retreat  britains membership of the european union…'
Politics,585570333652033536,'european union - eeas (european external action service) | joint statement by eu high…'
Politics,585569893753446400,'@bveltrop72 the european union isnt a union at all just a collection of states & people. cant understand how the eu let this happen'
Social,585569629982064640,'@a2mitch yeah buddy. my goal is to drink a beer from all countries in the european union y mexico?? #nationalbeerday'
Politics,585568771819048964,'@ugosimeoni1 please spread word & sign petition about #eu #votingrights for #ep2014   #believeinitactonit'
Social,585567273563381760,'made it. #passports nz x brit. #aotearoa x #european union. yeah bro vs innit bruv. #chur'
Politics,585567131225423873,'martin luther king had a dream that black & white would b treated equally. i too have a dream..that britain leaves the european union.ukip.'
Economy,585565241444065280,'european union moves to limit special tax deals'
Economy,585564220026138626,'forged in crises'
Social,585562343612018688,'plz help them  #antifur #furisdead #banfurfarms #gofurfree eu: ban fur farming in the european union  via @change'
Politics,585562259096743936,'council of the european union: stop ecig ban  via @ukchange'
Politics,585562115517325314,'@eucitizenabroad have launched a petition in line with our vote denied campaign - demand voting rights now!'
Politics,585561538695663616,'farage welcomes blair intervention on the european union'
Economy,585561327097270272,'access investments-european union- romania: so there you have it - qe and zirp ( zero interest...'
Politics,585561220536782848,'martin schulz: the european union must - according to its own constitution - intervene in romania!  via @change'
Politics,585561181240295424,'politics of the european union'
Politics,585558659494760448,'politics of the european union'
Social,585557663297208320,'eu: ban fur farming in the european union  via @ukchange'
Economy,585557573677481985,'@davidcoburnukip nothing about european union all the old boys said common market would be big mistake and most x military from ww2'
Politics,585556865469276166,'i see tony #blair has made his pitch for president of the european union.... #gethimtothehague'
Politics,585556778655621121,'@marssnowleopard i knew the european union was of the dark side >=('
Politics,585556514829631489,'the european union nationalism and the crisis of europe | stratfor'
Social,585555456120254464,'momofor mons 2015 european union capital of culture.'
Social,585555312402423810,'british drivers could be stripped of uk licences under new eu laws'
Social,585554096733687808,'#europe needs unity.crisis needed to force eu unification.just what founders had in mind. #holyromanempire'
Economy,585553889354723328,'eleven short answers to key questions on the european monetary union #emu #understanding_and_taking_ownership'
Social,585553122665312256,'@governordeal the european union has banned the use of cruel steel-jaw traps in europe. #vetohb160'
Politics,585552384740499456,'excruciating! oblivious to the serious consequences for our country @david_cameron tries to out-ukip ukip on the european union on @bbcnews'
Politics,585552046964768769,'which european countries are not in the european union?@tonyblairoffice @david_cameron answer -a list of 23. do they all face plight of ....'
Politics,585551959136071680,'the greek counter-ultimatum to europe: "we cannot keep isis out if you keep bullying us"  #european-union #turkey'
Politics,585551524279017472,'tony blair warns that quitting european union threatens citys ...google news & weather'
Economy,585551188885688320,'why is the agricultural policy important for the eu(european union)'
Economy,585551063098458112,'end of milk quotas strong franc are bad recipe for swiss cheese: the european union this month scrapped restri...'
Politics,585550874535145475,'the european uniondespite its faults still has so much to offer. the debate is important but do we honestly feel pulling out will be wise?'
Politics,585550786530308098,'i agree with @uklabour only rejecting the referendum on the european union! #ukelection'
Economy,585550210950111236,'if you think big business will let us leave the european union you are mental it shouldnt and wont happen'
Economy,585549570668638208,'ireland is the fastest growing economy in the european union'
Politics,585549558064799746,'european parliament president martin schulz warned greek prime minister alexis tsipras not to break with the european union line on sanctio…'
Politics,585549519133237249,'european parliament president martin schulz warned greek prime minister alexis tsipras not to break with the european union line on sanctio…'
Politics,585548778603732992,'farage welcomes blair intervention on the european union'
Economy,585547865403056129,'up to date news from the eu parliament european union eu matters and eu employment:  /collected via analyticus'
Politics,585546637784829953,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585546571745464320,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585546488299839488,'channel crossings: british choices ahead: as chancellor angela merkel tries to hold the european union togethe...'
Politics,585546035881193473,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585545946219544576,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585545882994618369,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585545481566158849,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Politics,585545320001630208,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
