@RELATION	TrainingSet

@ATTRIBUTE	class		{Politics,Economy,Social,Technology}
@ATTRIBUTE	id			NUMERIC
@ATTRIBUTE	content		STRING

@DATA
Social,583649774735237120,'pres poroshenko to support reopening of tatar tv the european union considers the shutdown o kabari world'
Economy,583649480131522560,'odilon almeida president of western unions american and european union regions shares his perspective of st cen'
Technology,583649421260271616,'eu to slap google with antitrust charges report the european union is preparing to file antitrust charges'
Technology,583649194428215296,'why europe hates american tech companiesnnthe european union seems to hate american tech companies a lotnnjust'
Politics,583649074584256515,'have polish ancestry you may be able to obtain polish and european union citizenship'
Social,583648877032648704,'ive been found guilty of genocide by the european union bestprankever meinecoke'
Economy,583648704097202176,'lebanons lack of progressnnthe european union report on the progress of the eu neighborhood policy enp in'
Technology,583648547804938240,'facebook data privacy case to be heard before european union court  maximilian schrems battling existing eu laws which allow companies to'
Politics,583648240752439297,'have polish ancestry you may be able to obtain polish and european union citizenship via'
Technology,583648229444595712,'european union would be the easiest place for google to data mine for user information or movements due to data retention laws'
Social,583647862510129152,'name may have changed but the standard of rugby in the european rugby champions cup still top quality roger'
Technology,583647421516931073,'facebook data privacy case to be heard before european union court  maximilian schrems ba'
Technology,583647222295764999,'eu to slap google with antitrust charges report the european union is preparing to fil seo rt'
Technology,583647216759218176,'seo business tech eu to slap google with antitrust charges report the european union i socialmedia smm'
Technology,583646970004185089,'why europe hates american tech companies the european union seems to hate american tech companies a lot jus'
Technology,583646876089655296,'facebook data privacy case to be heard before european union court  maximilian schrems battling existing eu'
Social,583646193047207936,'bienvenu to brandon lombardo who has joined us for  months on a european union employment exchange programme'
Politics,583645792319234049,'get britain outs latest piece with left foot forward exposes the institutionalised sexism within key institutions of the european union'
Technology,583645572457824257,'facebook data privacy case to be heard before european union court  maximilian schrems battling ex'
Politics,583645548034523136,'european union commends jonathan for saving nigeria from chaos via'
Economy,583645156353671169,'update news from the eu parliament european union eu matters and eu employment collected via analyticus'
Technology,583644866611023872,'smartgrids balancing solar and windpower could be europes shale gas a senior european union official says'
Social,583644330910318593,'eu to support reopening of tatar tv the european union considers the shutdown of the crimean  kabari world'
Politics,583644287377735681,'panelbase  would vote to stay in the european union excl dk'
Politics,583643227451981824,'european council  energy union'
Technology,583642828967841792,'facebook data privacy case to be heard before european union court  maximilian schrems battling existing eu laws'
Social,583642294529568769,'its called the european union also known as the fourth reich'
Technology,583641346369396736,'fb tracks all users including ones who have loggedout or not registered for fb in violation of european union law'
Politics,583641214810886144,'diplomacy until dawn kerry zarif burn midnight oil united states iran and european union leaders working on a deal to limit iran'
Politics,583641213636456448,'diplomacy until dawn kerry zarif burn midnight oil united states iran and european union leaders working o'
Politics,583639534094651392,'another seven countries as well as kosovo are waiting in the wings to join the european union'
Politics,583639373096312834,'abuse of european union tax money n'
Economy,583637004107309058,'britain and the european union the brexit dilemma via'
Politics,583636909815160832,'it is time for us to accept our leadership in the european union germany'
Social,583635845040734208,'violation of media freedom european union defines atr channel shutdown'
Technology,583635190490210304,'the european union is preparing a lawsuit against google the search giant is under scrutiny for abusing its'
Politics,583635088191008768,'european union commends jonathan for saving nigeria from chaos  channels television'
Technology,583634608866119680,'good morning the european union is preparing antitrust charges against google according to reports'
Economy,583634545620164609,'the economist  britain and the european union the brexit dilemma'
Social,583634228010557440,'gloucester v connacht fri gloucester face connacht in the european rugby challenge cup quarterfinals at ki'
Politics,583634166996008962,'jonathan hailed as a hero for conceding election as he meets with european union observers'
Economy,583633774749085696,'when acquiring other companies shares do give transparent and precise information see lafonta case c'
Economy,583632805910962176,'abuse of european union reseach funding'
Social,583632098327568385,'bbc rugby news gloucester v connacht fri gloucester face connacht in the european rugby challenge cup quart'
Social,583632004593291264,'gloucester v connacht fri gloucester face connacht in the european rugby challenge cup quarterfinal rugby'
