@RELATION	training4000

@ATTRIBUTE	class		{Politics,Economy,Social,Technology}
@ATTRIBUTE	id			NUMERIC
@ATTRIBUTE	content		STRING

@DATA
Social,583649774735237120,'pres. poroshenko to support re-opening of tatar tv: the european union considers the shutdown o... #kabari #world'
Economy,583649480131522560,'odilon almeida president of western unionã¢â‚¬â„¢s american and european union regions shares his perspective of 21st cenã¢â‚¬â¦'
Technology,583649421260271616,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583649417770598401,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583649415652511744,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583649408324993025,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583649194428215296,'why europe hates american tech companies\n\nthe european union seems to hate american tech companies. a lot.\n\njust...'
Politics,583649074584256515,'@sheilad @dickeastman: have polish ancestry? you may be able to obtain polish (and european union) citizenship'
Social,583648877032648704,'ive been found guilty of genocide by the european union. #bestprankever #meinecoke'
Economy,583648704097202176,'lebanons lack of progress\n\nthe european union report on the progress of the eu neighborhood policy (enp) in...'
Technology,583648547804938240,'facebook data privacy case to be heard before european union court | maximilian schrems battling existing eu laws which allow companies toã¢â‚¬â¦'
Politics,583648240752439297,'have polish ancestry? you may be able to obtain polish (and european union) citizenship via ...'
Technology,583648229444595712,'@wsjd\nthe european union would be the easiest place for google to data mine for user information &/or movements due to data retention laws'
Politics,583648223216041985,'have polish ancestry? you may be able to obtain polish (and european union) citizenship via ...'
Social,583647862510129152,'name may have changed but the standard of rugby in the european rugby champions cup still top quality: rogerã¢â‚¬â¦'
Politics,583647779769032704,'have polish ancestry? you may be able to obtain polish (and european union) citizenship via ...'
Technology,583647421516931073,'facebook data privacy case to be heard before european union court | maximilian schrems baã¢â‚¬â¦'
Technology,583647241694355456,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583647239379091456,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
